item,itemLabel,position,positionLabel,start,psid
Q1741653,"Nicholas True, Baron True",Q108046681,Minister of State at the Cabinet Office,2020-02-14,Q1741653-A3CA9807-FCC2-409F-9752-ED804E7A4F3A
Q180589,Boris Johnson,Q3315116,Minister for the Civil Service,2019-07-24,Q180589-22f84501-4154-f133-0f1d-3e61f3edd4ee
Q180589,Boris Johnson,Q609884,First Lord of the Treasury,2019-07-25,Q180589-53c102e6-4da6-2f30-1940-bbeb0a084557
Q180589,Boris Johnson,Q65988624,Minister for the Union,2019-07-26,Q180589-5f082af7-4b01-48ee-4ae1-4135d66c611d
Q180589,Boris Johnson,Q14211,Prime Minister of the United Kingdom,2019-07-24,Q180589-40c674a8-4cbe-09e0-72ac-7fb866cdc5a0
Q18210190,"Natalie Evans, Baroness Evans",Q2012061,Leader of the House of Lords,2016-07-14,Q18210190-5abda2e8-4dbd-cf9e-78c9-afc9b987e513
Q18210190,"Natalie Evans, Baroness Evans",Q910308,Lord Privy Seal,2016-07-14,Q18210190-7429da65-452c-3d10-503f-4e8356a403ec
Q19872694,Michelle Donelan,Q100989431,Minister of State for Higher and Further Education,2020-02-13,Q19872694-610C861C-86B6-4F8C-8401-C40A5AFDDCD7
Q19957590,Oliver Dowden,Q61412205,Minister without Portfolio,2021-09-15,Q19957590-7F4AE003-D523-44B3-85B6-AA34FDF3CB76
Q19957769,Suella Braverman,Q2631987,Attorney General for England and Wales,2021-09-10,Q19957769-ba5d0c91-45bf-0ff2-5e49-79ed4ac53ffc
Q20055561,Rishi Sunak,Q531471,Chancellor of the Exchequer,2020-02-13,Q20055561-5150b06e-4ae0-c24d-1131-2af471406f79
Q20648244,Anne-Marie Trevelyan,Q25863345,Secretary of State for International Trade,2021-09-15,Q20648244-45859737-B131-4B55-9018-11B712521147
Q258292,Nigel Adams,Q108046681,Minister of State at the Cabinet Office,2021-09-15,Q258292-B77AB047-26D2-4794-BED8-5EAE3FEFD080
Q258586,Nadine Dorries,Q3297079,"Secretary of State for Digital, Culture, Media and Sport",2021-09-15,Q258586-3B5C9E4F-9261-4700-92A5-B7D63C260029
Q259361,Nadhim Zahawi,Q3477306,Secretary of State for Education,2021-09-15,Q259361-107A4BED-F714-4578-8062-A0E235904411
Q260546,Stephen Barclay,Q162754,Chancellor of the Duchy of Lancaster,2021-09-15,Q260546-C057A03B-652C-467C-8FB4-EEA60723E288
Q260546,Stephen Barclay,Q6865995,Minister for the Cabinet Office,2021-09-15,Q260546-71E37635-D473-4CE7-AE04-BE0D84734C0F
Q263166,Ben Wallace,Q2747647,Secretary of State for Defence,2019-07-24,Q263166-7993fb77-429a-d8e9-7979-00664614fb0a
Q268584,Dominic Raab,Q1507619,Deputy Prime Minister of the United Kingdom,2021-09-15,Q268584-06169dd7-4c8e-9cc3-a2c0-ecd023280002
Q268584,Dominic Raab,Q217217,Lord Chancellor,2021-09-15,Q268584-dc1548d4-4bf2-96bf-5b16-52d4c63e5c14
